the,280988
and,200662
I,179950
a,171377
to,159566
of,106495
was,99056
is,83186
for,76589
it,74541
in,74267
that,64407
The,55178
but,53927
with,50977
my,49007
you,48977
on,45287
have,40465
this,39818
not,39556
they,36749
are,34292
at,33429
had,33392
place,32193
so,29236
food,28995
good,28770
be,28687
were,27783
me,27394
like,26420
as,24565
we,23678
just,22844
here,22554
there,22407
out,22343
get,21660
or,21222
all,20500
if,19361
one,19116
their,18614
up,18410
from,17990
about,17926
really,17463
time,17216
go,16972
very,16553
when,15962
an,15752
would,15655
some,15114
which,14947
back,14662
can,14587
it's,14573
your,14469
great,14411
more,14118
been,13643
what,13577
only,13435
service,13148
because,13058
don't,13007
It,12962
too,12306
I'm,12236
our,12213
by,12196
I've,11618
They,11553
no,11483
other,11433
them,11363
We,11133
got,10834
than,10828
even,10789
This,10775
will,10515
i,10270
do,10239
has,10233
much,10115
pretty,10058
also,9962
people,9499
little,9358
nice,9238
My,9091
us,9026
better,8840
didn't,8706
order,8659
he,8653
know,8546
think,8457
she,8449
over,8336
could,8305
after,8196
well,8106
ordered,7966
2,7948
who,7900
never,7682
restaurant,7674
went,7653
It's,7592
always,7570
make,7507
want,7473
going,7399
came,7313
come,7290
way,7239
best,7157
If,7155
did,7141
off,7096
first,7071
two,6962
then,6960
menu,6948
chicken,6936
try,6909
how,6890
But,6888
bad,6814
love,6782
3,6774
down,6740
any,6589
said,6479
though,6473
around,6443
still,6434
say,6379
her,6375
And,6334
5,6324
something,6288
few,6223
made,6154
again,6145
before,6125
night,6071
am,6052
right,6040
bar,6028
eat,5897
give,5887
day,5867
take,5850
So,5718
experience,5715
pizza,5707
staff,5678
minutes,5656
bit,5589
into,5467
1,5440
see,5409
times,5396
find,5388
wasn't,5380
you're,5371
ever,5303
cheese,5274
sauce,5242
thing,5156
definitely,5122
since,5104
delicious,5095
lunch,5080
most,5079
small,5053
lot,5041
while,5017
being,5007
sure,5002
wait,4991
salad,4966
price,4964
table,4877
A,4870
many,4803
friendly,4712
area,4702
sandwich,4677
asked,4674
where,4664
its,4644
another,4618
can't,4579
should,4576
4,4546
There,4539
meal,4527
now,4516
taste,4489
enough,4473
long,4450
stars,4450
store,4435
You,4366
fresh,4358
told,4354
last,4274
new,4248
next,4246
took,4236
feel,4233
friend,4194
actually,4192
tried,4170
work,4157
friends,4104
burger,4101
When,4069
drinks,4065
10,4060
same,4042
wanted,4034
Not,4025
things,4004
