haha We got,1
We shared a,1
others have said,1
fries Those,1
meat Haha,1
nice to try,1
would usually go,1
of TVs but,1
best thing,2
was my third,1
brunch here,2
sangria was good,1
add feta,1
the square The,1
a large piece,1
barely passable,1
to do this,2
or hate it,1
food EDIT,1
for bride's to,1
people but I,1
appointment but,1
to nibble on,1
hmmm what was,1
meal we kindly,1
few sticks,1
is what it,2
vistiting grandparents This,1
power for,1
by raising,1
based on the,2
friend He did,1
alive but,1
what they should,1
free can't remember,1
cult following,1
change the,3
as comfy and,1
bunched into one,1
and requested cheddar,1
share of commercial,1
quick bites,1
Jenn Soon after,1
the coffee house,1
food Breakfast menu,1
Asian restaurant,1
The omelets,1
tomatoes I,1
They cook their,1
that students,1
you're here,1
Mozzarella Tomato,1
Yelped for a,1
the biscuits,1
to score,1
who wears glasses,1
nicely marinated,1
Indian food with,1
ramen sort,1
cresents fab,1
120 EXTREMELY,1
I was dying,1
10ish 12,1
decks are located,1
Miracle They,1
I can't tell,2
too mushy,1
was was AWESOME,1
need retouching it,1
delicious That is,1
trust me,4
Halloween,2
a drawing,1
requirements,1
to it Just,1
for sure,9
gem right on,1
experience is,1
wee bit too,1
ground beef,5
mirrored,1
portion teriyaki You've,1
well organized They,1
some choice tunes,1
in a half,1
go with an,1
the rolls himself,1
hefty I,1
thinner,3
paying to get,1
true beer drinkers,1
hour,41
change things,1
feel that I,1
Since I am,1
won't,19
its traditional American,1
outstanding,9
great and i,1
room table,1
least twice,1
can't be fixed,1
of events and,1
i think that's,2
hot even,1
All the staff,1
some improvement The,1
as many,3
pyramid served with,1
Shanghai Dumpling with,1
the service and,2
Anyone that's grown,1
For those veggies,1
all these,2
The couple living,1
place Go check,1
2 It,1
soups there,1
it was recently,1
here The restaurant,1
our neighbors Reservations,1
beyond given,1
and mismatched painted,1
able to add,1
have combo,1
Boston Dessert was,1
but probably,1
my GPS or,1
cheap modest place,1
filet salmon,1
Cheesesteak sandwich,1
keep us from,1
and watch,3
perfect price,1
as an Indian,1
Carne Asada,2
the playgound,1
There's also a,2
snacks so,1
wings are unbelievable,1
guess your,1
is my friend,1
because i,4
vibration dampeners,1
at The Middle,1
The waffle was,1
sashimi dinner about,1
what museums should,1
and really liked,1
meat resembled a,1
3 pound on,1
bread and pastries,1
figured I didn't,1
watering Why such,1
always be a,1
had buttercream and,1
some Japanese,1
The antipasto is,1
tho that cancelled,1
reputation crosses,1
Fred Steak,4
a sippy,1
although I must,1
chatter that,1
watering and big,1
anyone who lives,1
the claypot,1
your while,1
recall seeing,1
place has a,5
order build your,1
don't the,1
try it some,1
their frosting,1
curry it was,1
scare a,1
veggies and raw,1
scene So,1
I'm gonna step,1
cute names but,1
chicken was really,2
this point,2
Everyone comes,1
for the pad,1
a tad long,1
time where,1
anywhere else for,1
Sound is done,1
to drop,2
reseasonable I will,1
and now,5
communism,1
diners next,1
a dying breed,1
bottled beers,1
love most about,1
their meals,2
get chatty they,1
Worth,1
to my seat,1
a full continental,1
adult,4
starting a,1
in my tummy,1
because curiously they,1
came here,16
QUIET Stella,1
better Bottom line,1
the lightness,1
very,392
Good food and,1
context beyond a,1
Since,19
straight foodservice,1
any special occasion,1
brunch is,5
making lunch happen,1
it really was,1
talent occasionally,1
of some sort,3
of New Haven,1
my hood and,1
each day Overall,1
and flavorful food,1
my pet,1
aforementioned toppings It,1
us a,6
t r i,1
